"skill_id","skill_name","local_icon_path","wiki_filename","notes"
"54","Arcane Surge","public/assets/icons/arcane_surge_icon.png","Arcane Surge.png",""
"27","Armor Link","public/assets/icons/armor_link.png","Armor Link.png",""
"94","Arrow Infusion","public/assets/icons/arrow_infusion_icon.png","Arrow Infusion.png",""
"34","Arrow Rain","public/assets/icons/arrow_rain.png","Arrow Rain.png",""
"44","Arrow Storm","public/assets/icons/arrow_rain.png","Arrow Rain.png","reuses same file as another skill"
"42","Blink","public/assets/icons/blink.png","Blink.png",""
"62","Blood Sacrifice","public/assets/icons/blood_sacrifice.png","Blood Sacrifice.png",""
"76","Bloodlust","public/assets/icons/bloodlust.png","Bloodlust.png",""
"101","Blue Moon","public/assets/icons/blue_moon.png","Blue Moon.png",""
"73","Bullseye","public/assets/icons/bullseye.png","Bullseye.png",""
"29","Burst Shield","public/assets/icons/burst_shield.png","Burst Shield.png",""
"95","Clarity","public/assets/icons/clarity_icon.png","Clarity.png",""
"104","Companion","public/assets/icons/companion_skill_icon.png","Companion.png",""
"56","Crescent Slash","public/assets/icons/crescent_slash_icon.png","Crescent Slash.png",""
"96","Crimson Moon","public/assets/icons/crimson_moon_icon.png","Crimson Moon.png",""
"89","Cross Strike","public/assets/icons/cross_strike_icon.png","Cross Strike.png",""
"45","Cursed Throw","public/assets/icons/cursed_throw.png","Cursed Throw.png",""
"82","Dark Fire","public/assets/icons/skill_darkness_fire_icon.png","Dark Fire.png",""
"69","Dash","public/assets/icons/dash.png","Dash.png",""
"9","Dash Strike","public/assets/icons/dash_strike.png","Dash Strike.png",""
"106","Dedication","public/assets/icons/dedication.png","Dedication.png",""
"105","Divine Benevolence","public/assets/icons/divine_benelovent.png","Divine Benevolence.png",""
"64","Divine Blessing","public/assets/icons/divine_blessing.png","Divine Blessing.png",""
"47","Divine Protection","public/assets/icons/divine_protection.png","Divine Protection.png",""
"107","Divine Thorn","public/assets/icons/divine_thorn.png","Divine Thorn.png",""
"22","Elemental Charge","public/assets/icons/Elemental_charge.png","Elemental Charge.png",""
"63","Empower","public/assets/icons/skill_Empower.png","Empower.png",""
"61","Faith","public/assets/icons/faith_icon_2.png","Faith (Skill).png","UNVERIFIED GUESS — this name likely collides with the branch/category page of the same name; confirm the real filename before publishing"
"103","Familiar","public/assets/icons/familiar_skill_icon.png","Familiar.png",""
"74","Feather Jump","public/assets/icons/feather_jump.png","Feather Jump.png",""
"19","Flame Barrage","public/assets/icons/flame_barrage.png","Flame Barrage.png",""
"92","Flare Arrow","public/assets/icons/flare_arrow_icon.png","Flare Arrow.png",""
"85","Flash Strike","public/assets/icons/flash_stike_icon.png","Flash Strike.png",""
"102","Focused Mind","public/assets/icons/focused_mind.png","Focused Mind.png",""
"75","Force of Will","public/assets/icons/Force of will.png","Force of Will.png",""
"35","Grapple Strike","public/assets/icons/grapple.png","Grapple Strike.png",""
"6","Gravity Well","public/assets/icons/gravitywell.png","Gravity Well.png",""
"51","Gust","public/assets/icons/Gust.png","Gust.png",""
"72","Heaven Arrow","public/assets/icons/heaven_arrow.png","Heaven Arrow.png",""
"1","Heavy Strike","public/assets/icons/heavystrike.png","Heavy Strike.png",""
"91","Holy Arrow","public/assets/icons/holy_arrow_icon.png","Holy Arrow.png",""
"93","Holy Field","public/assets/icons/holy_field_icon.png","Holy Field.png",""
"109","Life Line","public/assets/icons/lifeline.png","Life Line.png",""
"84","Lunar Step","public/assets/icons/luna_step_icon.png","Lunar Step.png",""
"60","Magic","public/assets/icons/int_damage_icon.png","Magic (Skill).png","UNVERIFIED GUESS — this name likely collides with the branch/category page of the same name; confirm the real filename before publishing"
"41","Magic Burst","public/assets/icons/skill_magic_burst.png","Magic Burst.png",""
"83","Magic Slash","public/assets/icons/magic_slash.png","Magic Slash.png",""
"28","Mana Shield","public/assets/icons/mana_shield.png","Mana Shield.png",""
"30","Medishot","public/assets/icons/medishot.png","Medishot.png",""
"58","Melee","public/assets/icons/melee.png","Melee (Skill).png","UNVERIFIED GUESS — this name likely collides with the branch/category page of the same name; confirm the real filename before publishing"
"98","Messenger","public/assets/icons/messenger_icon.png","Messenger.png",""
"108","Nimble","public/assets/icons/ghost_charge.png","Nimble.png",""
"2","Ninja Throw","public/assets/icons/ninjathrow.png","Ninja Throw.png",""
"5","Nova","public/assets/icons/frost.png","Nova.png",""
"50","Onslaught","public/assets/icons/Onslaught.png","Onslaught.png",""
"90","Perseverance","public/assets/icons/perseverance_icon.png","Perseverance (Skill).png","confirmed disambiguated filename (collides with another wiki page)"
"86","Phasing","public/assets/icons/phrasing_icon.png","Phasing.png",""
"97","Punishment","public/assets/icons/punishment_icon.png","Punishment.png",""
"59","Range","public/assets/icons/range_damage_icon.png","Range (Skill).png","UNVERIFIED GUESS — this name likely collides with the branch/category page of the same name; confirm the real filename before publishing"
"77","Realm Piercing Arrow","public/assets/icons/realm_piercing_arrow.png","Realm Piercing Arrow.png",""
"4","Revitalize","public/assets/icons/revitalize.png","Revitalize.png",""
"71","Seirei","public/assets/icons/seirei.png","Seirei.png",""
"49","Shadow Step","public/assets/icons/ShadowStep.png","Shadow Step.png",""
"46","Shadow Twin","public/assets/icons/ShadowTwin.png","Shadow Twin.png",""
"87","Shield Bash","public/assets/icons/shield_bash_icon.png","Shield Bash.png",""
"48","Shield Slam","public/assets/icons/shield_slam.png","Shield Slam.png",""
"70","Siphon","public/assets/icons/siphon.png","Siphon.png",""
"40","Slash","public/assets/icons/slash.png","Slash.png",""
"52","Smite","public/assets/icons/smite.png","Smite.png",""
"57","Soul Bomb","public/assets/icons/soul_bomb.png","Soul Bomb.png",""
"33","Soul Shot","public/assets/icons/soul_shot.png","Soul Shot.png",""
"53","Star Fall","public/assets/icons/star_fall.png","Star Fall.png",""
"3","Taunt","public/assets/icons/taunt.png","Taunt.png",""
"18","Triple Throw","public/assets/icons/triple_throw.png","Triple Throw.png",""
"43","True Shot","public/assets/icons/true_shot.png","True Shot.png",""
"100","Undying","public/assets/icons/undying.png","Undying.png",""
"21","Upward Strike","public/assets/icons/upward_strike.png","Upward Strike.png",""
"88","Vanguard","public/assets/icons/vanguard_icon.png","Vanguard.png",""
"55","Whirlwind","public/assets/icons/whirlwind_icon.png","Whirlwind.png",""
